id,name_th,name_en,name_ja,city,area,category,tags,lat,lng,open_hours,closed_days,avg_visit_min,avg_cost_jpy,tips,quality_score
kr-sel-yeouido-park,สวนฮันกัง ยออีโด,Yeouido Hangang Park,汝矣島漢江公園,โซล,ยออีโด,สวน,ปิกนิก|ฟรี|พระอาทิตย์ตก,37.5285,126.9340,ตลอดเวลา,,90,0,สั่งไก่ทอดมาส่งริมน้ำได้จริง ร้านส่วนใหญ่ส่งถึงสวน,84
kr-sel-noryangjin,ตลาดปลาโนรยางจิน,Noryangjin Fish Market,鷺梁津水産市場,โซล,โนรยางจิน,ตลาด,ของกิน|ซีฟู้ด,37.5140,126.9540,ตลอดเวลา,,90,1800,ซื้อชั้นล่างแล้วให้ร้านชั้นบนปรุงให้ คิดค่าปรุงแยก ถามราคาก่อน,74
kr-sel-war-memorial,อนุสรณ์สถานสงครามเกาหลี,War Memorial of Korea,戦争記念館,โซล,ยงซาน,พิพิธภัณฑ์,ฟรี|ในร่ม|ประวัติศาสตร์,37.5370,126.9770,09:30–18:00,จันทร์,120,0,ใหญ่กว่าที่คิด เผื่อเวลาสองชั่วโมงเป็นอย่างน้อย,78
kr-sel-leeum,พิพิธภัณฑ์ศิลปะลีอุม,Leeum Museum of Art,リウム美術館,โซล,ฮันนัม,พิพิธภัณฑ์,ศิลปะ|ในร่ม,37.5385,126.9990,10:00–18:00,จันทร์,120,0,นิทรรศการถาวรเข้าฟรี รอบพิเศษเสียเงินแยก,76
kr-sel-hangang-banpo,สะพานพันโพ น้ำพุสายรุ้ง,Banpo Bridge Rainbow Fountain,盤浦大橋,โซล,ซอโช,จุดชมวิว,กลางคืน|ฟรี|ตามฤดู,37.5126,126.9966,19:30–21:00,,45,0,เล่นเฉพาะเม.ย.–ต.ค. รอบละ 20 นาที เช็กรอบก่อนไป,70
kr-sel-ikseondong,อิกซอนดง,Ikseon-dong,益善洞,โซล,ชงโน,ย่านเมืองเก่า,คาเฟ่|ของกิน|ถ่ายรูปสวย,37.5740,126.9900,11:00–22:00,,90,700,ฮันอกเก่าดัดแปลงเป็นคาเฟ่ ตรอกแคบ ไปช่วงบ่ายคนน้อยกว่า,82
kr-sel-namdaemun,ตลาดนัมแดมุน,Namdaemun Market,南大門市場,โซล,นัมแดมุน,ตลาด,ของฝาก|ของกิน|ราคาถูก,37.5590,126.9770,08:00–18:00,อาทิตย์,90,500,ร้านหลายร้านปิดวันอาทิตย์ ต่างจากมยองดงที่อยู่ติดกัน,72
kr-cch-nami,เกาะนามิ,Nami Island,南怡島,ชุนชอน,คังวอน,ธรรมชาติ,ใบไม้เปลี่ยนสี|ต้องไปเช้า|วันเดย์ทริป,37.7900,127.5250,08:00–21:00,,240,1300,ไปเช้าสุดเพื่อหนีทัวร์ ค่าเรือรวมค่าเข้าแล้ว,86
kr-cch-petite-france,เปอตีต์ฟรองซ์,Petite France,プチフランス,ชุนชอน,คังวอน,ธีมพาร์ค,ถ่ายรูปสวย|ครอบครัว,37.7720,127.5170,09:00–18:00,,90,1000,รวมกับเกาะนามิเป็นวันเดียวได้ รถบัสวิ่งเชื่อมกัน,68
kr-inc-chinatown,ไชน่าทาวน์อินชอน,Incheon Chinatown,仁川中華街,อินชอน,จุงกู,ย่านเมืองเก่า,ของกิน|วันเดย์ทริป,37.4750,126.6170,10:00–21:00,,120,700,จาจังมยอนเกิดที่นี่ ร้านต้นตำรับมีพิพิธภัณฑ์เล็ก ๆ ด้วย,70
kr-suw-hwaseong,ป้อมฮวาซอง ซูวอน,Hwaseong Fortress,華城,ซูวอน,ปาลดัลกู,ป้อมปราการ,มรดกโลก|เดินเล่น|วันเดย์ทริป,37.2880,127.0140,09:00–18:00,,150,300,เดินกำแพงรอบเต็มราวห้ากิโล เลือกเดินครึ่งเดียวก็คุ้ม,80
kr-bsn-gamcheon,หมู่บ้านวัฒนธรรมกัมชอน,Gamcheon Culture Village,甘川文化村,ปูซาน,ซาฮากู,ย่านเมืองเก่า,ถ่ายรูปสวย|ทางชัน|ต้องไป,35.0975,129.0106,09:00–18:00,,120,0,ทางชันมาก ใส่รองเท้าดี ๆ และเริ่มจากด้านบนแล้วเดินลง,88
kr-bsn-haeundae,หาดแฮอุนแด,Haeundae Beach,海雲台,ปูซาน,แฮอุนแด,ชายหาด,ฟรี|พระอาทิตย์ตก|เดินเล่น,35.1586,129.1603,ตลอดเวลา,,90,0,ฤดูร้อนคนแน่นมาก นอกฤดูเดินเล่นสบายกว่าและยังสวย,82
kr-bsn-jagalchi,ตลาดปลาจากัลชี,Jagalchi Fish Market,チャガルチ市場,ปูซาน,จุงกู,ตลาด,ของกิน|ซีฟู้ด|ต้องไป,35.0966,129.0306,05:00–22:00,,90,1500,ชั้นสองปรุงให้ได้เหมือนโนรยางจิน ตกลงราคาก่อนเสมอ,80
